Population,ID,SSR_CLA02A,SSR_CLA02B,SSR_CLA16A,SSR_CLA16B,SSR_CLA19A,SSR_CLA19B,SSR_CLA22A,SSR_CLA22B,SSR_CLA26A,SSR_CLA26B,SSR_CLA28A,SSR_CLA28B,SSR_CLA35A,SSR_CLA35B,SSR_CLA40A,SSR_CLA40B,SSR_CLA43A,SSR_CLA43B,SSR_CLA58A,SSR_CLA58B,SSR_CLA62A,SSR_CLA62B,SSR_CLA70A,SSR_CLA70B,SSR_CLA72A,SSR_CLA72B,SSR_CLA80A,SSR_CLA80B,SSR_CLA82A,SSR_CLA82B,SSR_CLA83A,SSR_CLA83B,SSR_CLA91A,SSR_CLA91B,SSR_CLA92A,SSR_CLA92B,SSR_CLA94A,SSR_CLA94B,SSR_CLA96A,SSR_CLA96B
Leucate,Leucate,118,118,179,179,181,181,188,190,205,205,226,226,290,302,129,129,206,209,143,143,151,151,129,129,139,139,199,199,175,187,243,243,176,176,184,205,235,238,181,184
Leucate,Leucate,118,120,177,179,181,181,188,196,211,211,226,226,292,336,126,129,209,218,139,143,151,157,129,129,133,133,202,202,175,175,243,246,176,176,187,208,223,238,181,181
Leucate,Leucate,118,118,179,179,181,181,190,192,205,213,226,226,292,292,129,132,209,209,139,143,151,151,117,129,143,145,199,202,172,172,243,243,176,179,208,220,235,238,181,187
Leucate,Leucate,118,118,177,179,181,181,192,198,209,209,226,226,286,286,126,129,209,209,143,143,151,151,117,135,139,139,999,999,178,184,234,243,176,176,187,202,229,235,181,181
Leucate,Leucate,118,120,177,179,181,181,192,196,999,999,222,226,288,310,129,129,209,209,143,143,151,161,999,999,139,139,202,202,154,172,234,243,176,176,187,193,235,235,181,193
Leucate,Leucate,118,120,177,179,181,181,192,196,209,211,222,222,288,310,129,129,209,209,143,143,151,161,129,135,139,139,202,202,154,172,234,243,176,176,187,193,235,235,181,193
Leucate,Leucate,999,999,177,179,181,181,999,999,999,999,226,226,999,999,129,129,999,999,139,143,151,151,999,999,139,139,196,199,999,999,234,234,999,999,999,999,235,235,999,999
Leucate,Leucate,999,999,177,179,181,181,188,196,999,999,226,226,292,336,129,129,999,999,139,143,151,151,999,999,139,139,199,199,999,999,234,234,176,188,187,205,235,235,181,187
Leucate,Leucate,118,118,177,177,181,181,188,188,999,999,226,226,288,336,126,129,209,227,999,999,157,157,117,135,999,999,199,202,175,195,243,243,188,200,202,205,223,235,999,999
Leucate,Leucate,118,126,177,177,181,181,190,196,207,211,226,226,310,336,126,126,209,224,143,147,151,151,117,133,125,143,199,202,175,178,243,243,176,197,187,214,235,235,181,184
Leucate,Leucate,118,120,177,179,181,181,192,196,213,213,222,222,288,310,126,129,209,221,137,137,155,155,117,133,125,125,199,199,154,187,234,243,176,176,202,208,235,235,181,193
Leucate,Leucate,118,126,177,179,181,181,190,190,205,205,226,226,292,336,126,129,209,209,143,143,163,163,117,141,133,143,199,199,172,189,243,246,176,176,205,205,235,235,178,181
Leucate,Leucate,118,120,177,177,181,181,188,192,205,213,226,226,286,336,126,129,197,200,139,147,151,157,117,135,139,139,199,202,172,175,243,243,176,188,187,202,235,235,181,184
Leucate,Leucate,118,118,177,179,181,181,190,192,205,207,226,226,288,296,126,129,209,218,143,143,151,151,117,139,139,139,196,199,175,195,234,243,176,179,202,202,235,238,178,181
Leucate,Leucate,118,118,177,177,181,181,188,188,207,213,226,226,288,336,126,129,209,227,139,147,157,157,117,135,133,145,202,202,175,195,243,243,188,200,202,202,223,235,181,187
Leucate,Leucate,118,120,177,177,181,181,188,196,205,209,226,226,310,336,129,132,224,233,143,143,151,151,117,117,139,145,199,202,178,178,243,243,176,179,205,205,235,235,181,181
Lapalme,Lapalme,118,144,177,179,181,181,188,192,205,207,226,226,292,310,126,129,209,209,139,143,161,161,133,141,133,143,199,199,175,175,243,243,176,176,187,202,238,238,181,181
Lapalme,Lapalme,118,120,177,177,181,181,192,192,209,213,222,222,292,292,129,129,200,200,143,143,151,151,133,141,145,145,202,202,175,175,240,243,173,176,202,202,235,235,181,181
Lapalme,Lapalme,118,120,177,177,181,181,190,190,207,207,226,226,300,300,129,132,200,209,143,143,151,161,999,999,999,999,202,202,999,999,234,243,176,176,187,223,238,238,181,181
Lapalme,Lapalme,120,120,177,177,181,181,188,192,205,213,226,226,292,298,129,129,209,209,143,143,151,151,135,139,133,145,202,202,175,187,243,243,176,179,202,202,235,238,181,181
Lapalme,Lapalme,118,144,177,181,181,181,188,198,207,207,226,226,292,298,132,132,224,227,143,143,151,151,133,141,133,147,199,199,166,175,234,234,176,176,202,202,235,235,181,184
Lapalme,Lapalme,120,144,177,179,181,181,192,198,207,213,226,226,292,302,129,132,209,218,143,143,161,161,133,133,143,145,999,999,172,189,243,243,176,182,187,205,235,238,181,184
Lapalme,Lapalme,118,120,177,179,181,181,192,196,205,207,226,226,290,292,129,132,200,209,140,143,151,151,137,145,133,145,202,202,172,187,243,243,173,176,187,202,235,235,181,184
Lapalme,Lapalme,118,120,177,179,181,181,190,198,209,213,226,226,292,300,129,132,209,227,143,145,161,161,135,141,133,145,999,999,166,172,234,234,176,176,202,202,235,235,184,184
Lapalme,Lapalme,118,120,177,177,181,181,190,190,207,207,226,226,292,308,129,129,209,215,143,143,161,161,135,145,143,143,199,199,172,175,243,243,176,179,202,214,235,235,181,184
Lapalme,Lapalme,118,118,177,177,181,181,190,192,207,207,226,226,290,292,129,132,197,221,143,145,151,161,135,145,133,145,202,202,163,175,234,243,170,179,202,202,235,238,181,184
Lapalme,Lapalme,118,118,177,179,175,181,192,192,205,209,226,226,292,292,129,132,209,212,139,145,151,151,117,133,151,151,203,203,166,166,240,243,170,179,202,214,235,235,181,181
Lapalme,Lapalme,118,118,179,179,181,181,192,198,205,207,226,226,308,310,129,132,200,209,139,143,151,151,141,145,141,145,202,202,175,175,243,243,179,182,187,202,235,235,181,184
Lapalme,Lapalme,118,120,177,177,181,181,190,198,207,207,226,226,292,298,129,129,209,218,143,145,151,161,137,141,133,145,187,199,175,175,234,243,176,176,187,205,235,238,178,181
Lapalme,Lapalme,118,140,177,177,181,181,192,192,207,209,226,226,292,292,129,129,209,218,143,143,151,161,133,139,143,145,999,999,157,157,234,243,176,182,205,223,235,235,181,184
Lapalme,Lapalme,114,118,177,177,181,181,192,192,207,209,226,226,290,290,126,129,209,209,143,143,151,161,137,145,999,999,199,199,166,175,234,234,176,179,208,214,235,238,181,184
Gruissan,Gruissan,118,118,177,179,181,181,190,196,207,207,226,226,288,292,126,132,236,236,145,145,151,151,117,137,145,145,187,199,172,175,234,243,176,176,187,187,235,235,184,184
Gruissan,Gruissan,118,120,177,177,181,181,190,190,207,213,226,226,294,294,120,129,206,209,143,143,151,151,117,137,139,145,199,202,172,172,243,243,179,179,187,226,235,235,181,181
Gruissan,Gruissan,118,118,177,179,181,181,190,196,209,209,226,226,290,294,126,132,206,209,139,139,151,151,117,137,139,145,199,199,175,178,243,243,167,176,187,187,235,235,181,181
Gruissan,Gruissan,118,118,177,177,181,181,192,192,207,211,226,226,290,290,126,132,209,233,143,145,151,151,133,137,143,145,999,999,172,175,243,243,176,185,187,202,235,235,181,181
Gruissan,Gruissan,118,118,177,179,181,181,190,190,207,209,226,226,294,294,129,132,209,209,145,145,151,151,117,133,139,139,999,999,175,175,243,243,176,185,187,202,235,235,181,181
Gruissan,Gruissan,118,118,177,177,181,181,190,198,207,209,226,226,290,294,120,126,218,218,137,137,151,155,133,147,139,145,202,202,172,175,243,243,176,188,187,187,235,235,181,184
Gruissan,Gruissan,118,118,179,179,181,181,190,192,207,207,226,226,282,292,126,132,218,236,143,143,151,151,117,137,145,145,199,199,172,175,234,243,179,185,187,187,235,235,181,184
Gruissan,Gruissan,118,118,177,179,181,181,192,196,207,211,226,226,294,296,120,132,209,209,145,145,151,151,137,147,999,999,187,187,175,175,234,243,179,194,187,202,235,235,181,181
Gruissan,Gruissan,118,118,177,177,181,181,190,190,207,211,226,226,294,302,120,120,206,224,137,137,151,151,137,147,139,145,202,202,172,172,243,243,176,179,187,187,223,235,181,181
Gruissan,Gruissan,118,118,177,179,181,181,190,192,211,211,226,226,294,302,120,126,224,224,137,145,151,151,137,147,139,145,199,199,172,172,234,243,176,179,187,202,223,235,181,181
Gruissan,Gruissan,118,118,179,179,181,181,190,192,207,211,226,226,294,294,120,126,209,209,137,145,151,151,117,147,139,145,999,999,172,175,243,243,179,194,187,202,235,235,181,181
Gruissan,Gruissan,118,118,177,179,181,181,196,196,207,209,226,226,290,292,120,120,209,209,143,143,151,155,999,999,133,139,202,202,172,175,243,243,185,185,187,187,235,235,181,184
Gruissan,Gruissan,118,118,177,179,181,181,190,190,207,207,226,226,292,294,120,129,209,209,137,145,151,157,117,147,145,145,199,202,172,175,243,243,176,179,187,199,223,235,181,181
Gruissan,Gruissan,118,118,177,179,181,181,192,194,209,209,226,226,292,294,132,132,233,233,143,143,155,155,117,137,139,145,199,199,175,175,243,243,176,185,187,187,235,235,184,187
Ceyreste,Ceyreste,118,120,177,177,175,181,188,188,207,211,226,226,302,320,120,126,209,209,143,149,157,157,135,149,147,147,199,199,154,172,234,234,170,182,193,229,235,235,178,181
Ceyreste,Ceyreste,120,120,177,177,153,175,192,192,207,207,226,226,292,302,126,126,206,206,143,149,159,159,135,149,147,147,199,199,172,187,234,234,170,182,187,187,232,232,178,181
Ceyreste,Ceyreste,120,120,177,177,175,181,192,192,207,207,226,226,292,296,126,126,218,218,143,143,157,157,135,135,147,147,199,199,187,187,234,234,179,182,193,193,232,232,181,181
Ceyreste,Ceyreste,118,118,177,177,153,175,188,188,205,207,226,226,298,310,126,126,209,209,143,143,157,157,133,133,145,145,199,199,154,154,234,234,179,182,187,193,232,232,178,181
Ceyreste,Ceyreste,120,120,177,177,175,181,192,192,207,207,226,226,292,298,126,129,218,218,143,149,157,157,133,133,145,147,199,199,154,154,234,234,170,170,187,229,999,999,178,178
Ceyreste,Ceyreste,118,118,177,177,181,181,188,192,207,211,226,226,294,294,120,126,209,209,143,151,157,157,133,149,145,147,199,199,172,187,234,234,170,182,211,226,999,999,178,184
Ceyreste,Ceyreste,118,118,177,179,175,175,192,192,207,211,224,224,292,294,126,129,218,218,143,143,157,157,133,149,145,145,199,199,154,172,234,234,170,170,187,211,238,238,178,178
