Population	Region	Latitude	Longitude
Leucate	LR	42,9125	3,057891
Lapalme	LR	42,99069	3,01395
Gruissan	LR	43,13503	3,09489
Ceyreste	PACA	43,21642	5,60679
Castellet	PACA	43,23653	5,7553
Serra	Valencia	39,70866	-0,4279
Roja	Valencia	39,54764	-0,60005
Conques	Valencia	38,90372	-0,25545
Alcai	Valencia	38,71985	-0,53925
Alhama	Andaluz	36,95591	-2,59785
Rute	Andaluz	37,32975	-4,35373
Marbella	Andaluz	36,53216	-4,87761
Nerja	Andaluz	36,76965	-3,85233
Puig_Nau	Catalunya	40,47567	0,40764
Pennaroya	Catalunya	40,75126	0,05691
Sitges	Catalunya	41,26908	1,92494
Barrage	Catalunya	41,88311	0,57608
Port_Alon	PACA	43,149487	5,706398
Azur_Valouc	PACA	43,192132	5,738091
Redonnes	PACA	43,35	5,208455
