"","code.pop","sp.name","presence","date","x","y","precision","source"
"1",7673,"Convolvulus lanuginosus",1,1990-04-12,3.01604284970876,42.9255560370328,500,"cbnmed"
"2",7584,"Convolvulus lanuginosus",1,1990-04-12,3.05675399830708,42.9112886336581,500,"cbnmed"
"3",7618,"Convolvulus lanuginosus",1,1990-04-12,3.05624039276019,42.9115227155258,500,"cbnmed"
"4",13037517,"Convolvulus lanuginosus",1,1990-05-30,5.7716332062227,43.220700672199,500,"cbnmed"
"5",13037509,"Convolvulus lanuginosus",1,1990-05-30,5.7698303711095,43.2216020160727,500,"cbnmed"
"6",8368343,"Convolvulus lanuginosus",1,1990-06-15,5.7658082595155,43.2445129641187,500,"cbnmed"
"7",37570490,"Convolvulus lanuginosus",1,1991-10-20,3.060682,43.096785,500,"cbnmed"
"8",8496160,"Convolvulus lanuginosus",1,1992-01-01,3.06546079725701,43.092268213794,10,"cbnmed"
"9",12874536,"Convolvulus lanuginosus",1,1992-01-12,5.7220238803752,43.1424197532112,500,"cbnmed"
"10",1342045,"Convolvulus lanuginosus",1,1993-01-01,5.66616616796064,43.200794082215,500,"cbnmed"
"11",727143,"Convolvulus lanuginosus",1,1993-01-01,2.7537157846247,42.7842300812574,10,"cbnmed"
"12",8368342,"Convolvulus lanuginosus",1,1993-01-24,5.69411244318991,43.1474228864278,500,"cbnmed"
"13",8368341,"Convolvulus lanuginosus",1,1993-03-07,5.71142980128618,43.1455667181643,500,"cbnmed"
"14",242093,"Convolvulus lanuginosus",1,1993-05-15,3.05735305144268,42.9108656559176,10,"cbnmed"
"15",9310,"Convolvulus lanuginosus",1,1994-03-20,3.09158383032705,43.1357367428724,500,"cbnmed"
"16",273037,"Convolvulus lanuginosus",1,1994-03-20,3.09157204724572,43.1360515599991,500,"cbnmed"
"17",13572,"Convolvulus lanuginosus",1,1994-03-20,3.0944590423858,43.1365437665051,10,"cbnmed"
"18",241913,"Convolvulus lanuginosus",1,1994-03-20,3.09398195439023,43.1377134682245,10,"cbnmed"
"19",19371,"Convolvulus lanuginosus",1,1994-04-17,3.00273973633303,42.8964116846957,500,"cbnmed"
"20",165,"Convolvulus lanuginosus",1,1994-04-17,3.05690102787798,42.9115133748675,500,"cbnmed"
