"","bio01","bio02","bio03","bio04","bio05","bio06","bio07","bio08","elev","presence"
"1",16,8,0,583,29,5,25,12,10,1
"2",16,7,0,572,29,5,24,12,39,1
"3",15,5,0,521,25,5,20,16,154,1
"4",14,6,0,525,24,4,20,15,340,1
"5",15,7,0,568,28,5,24,12,51,1
"6",15,4,0,489,25,7,18,13,46,1
"7",15,5,0,506,25,6,19,16,154,1
"8",15,9,0,587,28,3,25,8,149,1
"9",16,4,0,487,25,7,17,13,18,1
"10",16,4,0,489,25,7,17,13,15,1
"11",15,7,0,555,27,5,23,12,98,1
"12",16,8,0,588,29,5,25,12,1,1
"13",16,7,0,574,29,5,24,12,36,1
"15",15,5,0,512,25,6,19,16,98,1
"16",14,6,0,526,25,5,20,15,248,1
"17",15,7,0,564,28,5,24,12,44,1
"18",16,8,0,583,29,5,24,12,15,1
"19",14,5,0,512,24,5,19,16,214,1
"21",16,8,0,585,29,4,25,12,5,1
"22",16,8,0,581,29,5,24,12,36,1
"23",15,5,0,508,25,6,19,16,172,1
"24",15,4,0,504,25,6,18,16,95,1
"25",15,4,0,502,25,6,18,13,102,1
"26",15,6,0,537,27,5,21,12,88,1
"27",14,4,0,494,24,6,18,16,253,1
"28",15,7,0,551,27,5,22,12,58,1
"29",15,7,0,556,28,5,23,12,57,1
"30",15,6,0,542,27,5,22,12,11,1
"31",15,8,0,590,29,4,25,12,72,1
"32",16,8,0,591,29,4,25,12,16,1
"33",15,7,0,556,27,4,23,12,163,1
"34",15,6,0,530,27,6,21,12,32,1
"35",15,7,0,549,27,5,22,12,128,1
"36",15,6,0,529,26,6,21,12,35,1
"37",15,6,0,528,27,6,21,13,4,1
"38",15,4,0,493,25,7,18,13,103,1
"39",15,4,0,488,24,7,18,13,96,1
"41",16,8,0,580,29,5,24,13,3,1
"42",15,8,0,579,29,4,24,12,63,1
"43",16,8,0,577,29,5,24,12,20,1
"44",13,9,0,580,27,2,25,7,369,1
"45",14,8,0,587,28,3,25,11,253,1
"46",15,8,0,588,29,3,25,11,207,1
"47",15,8,0,591,29,4,25,12,110,1
"48",16,7,0,574,29,5,24,12,49,1
"49",15,7,0,548,27,5,22,12,60,1
"50",14,6,0,529,25,5,20,15,251,1
"51",14,6,0,525,25,5,20,15,239,1
"52",16,8,0,593,29,4,25,12,40,1
"54",15,5,0,507,25,6,19,16,174,1
"55",14,5,0,515,24,5,20,15,268,1
"56",14,5,0,518,25,5,20,15,244,1
"57",15,5,0,510,25,6,19,16,180,1
"58",14,5,0,507,24,5,19,15,343,1
"59",15,5,0,505,25,6,19,16,162,1
"60",15,4,0,506,25,6,18,16,85,1
"61",15,8,0,581,29,4,24,12,79,1
"62",15,4,0,500,24,6,18,12,188,1
"63",15,8,0,584,29,4,25,12,69,1
"64",15,8,0,580,29,4,24,12,87,1
"65",15,8,0,582,29,4,25,12,103,1
"66",15,7,0,549,27,5,22,12,82,1
"67",15,8,0,593,29,4,25,12,110,1
"68",15,9,0,587,28,3,25,8,124,1
"69",15,9,0,589,29,3,25,11,116,1
"70",14,9,0,583,28,2,25,8,276,1
"71",15,5,0,513,25,6,19,16,92,1
"74",15,8,0,595,29,4,25,12,60,1
"75",14,5,0,516,24,4,20,15,375,1
"76",14,5,0,511,24,5,19,16,209,1
"77",15,4,0,493,25,7,18,13,84,1
"78",15,9,0,586,28,3,25,8,104,1
"79",14,5,0,516,24,4,20,15,330,1
"80",14,5,0,511,24,5,19,15,252,1
"81",15,4,0,491,24,7,18,13,106,1
"82",15,4,0,491,25,7,18,13,38,1
"83",15,4,0,491,25,7,18,13,56,1
"84",15,4,0,493,25,7,18,17,41,1
"85",15,8,0,585,29,4,25,12,91,1
"86",14,9,0,584,28,2,25,11,261,1
"87",15,4,0,504,25,7,18,16,62,1
"88",15,4,0,507,25,6,19,16,128,1
"89",15,5,0,508,24,6,19,16,195,1
"90",14,5,0,515,25,5,19,16,215,1
"91",15,5,0,512,25,6,19,16,127,1
"92",15,5,0,513,25,5,19,16,196,1
"93",14,9,0,587,28,3,25,8,176,1
