gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2529355356	StillImage	image/jpeg	https://static.inaturalist.org/photos/57918595/original.jpg?1576270222	https://www.inaturalist.org/photos/57918595					1998-04-15T19:47:00Z	Ángel Fernández Cancio		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Ángel Fernández Cancio
2517754950	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/WAG.1270119/format/large			WAG.1270119_1139909984							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517513959	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/WAG.1270126/format/large			WAG.1270126_0130829628							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517502057	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/WAG.1270120/format/large			WAG.1270120_01392445174							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517477015	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/WAG.1270125/format/large			WAG.1270125_374728997							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517471080	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/WAG.1270116/format/large			WAG.1270116_01638381437							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517420777	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1216719/format/large			U.1216719_987954254							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517359697	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1216725/format/large			U.1216725_222773267							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517357693	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1216724/format/large			U.1216724_728331892							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517346401	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/WAG.1270121/format/large			WAG.1270121_01898003799							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
