id_observation	id_releve	id_releve_type	nom_org_f	id_releve_methode	date_releve_fin	nom_obs	id_precision	id_maille_inpn_5	id_maille_inpn_10	x_l93	y_l93	lon_wgs84	lat_wgs84	insee_comm	commune	insee_dept	lieudit	nom_cite	cd_nom	cd_ref	nom_reconnu	
"1753872"	"359384"	"RT"	"Bureau d'études ECOMED"	"1"	"2007-04-22"	"LEJEUNE Solenne"	"P"	"19566"	"7895"	"918455"	"6232280"	"5.68444782874445"	"43.1563398000445"	"83112"	"Saint-Cyr-sur-Mer"	"83"	"LE PIGEONNIER"	"Convolvulus lanuginosus Desr."	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	
"1772140"	"362279"	"BIB"	"Bureau d'Etudes CERCIS"	"1"	"2010-12-31"	"FAURE Karine"	"P"	"19566"	"7895"	"918982"	"6232000"	"5.69080156950533"	"43.1536614553765"	"83112"	"Saint-Cyr-sur-Mer"	"83"	""	"Convolvulus lanuginosus"	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	
"1415895"	"284938"	"RT"	"Bureau d'études ECOMED"	"1"	"2007-05-23"	"LEJEUNE Solenne"	"P"	"18468"	"7573"	"877090"	"6250769"	"5.18270791046431"	"43.3340410855158"	"13021"	"Carry-le-Rouet"	"13"	"LE ROUET"	"Convolvulus lanuginosus Desr."	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	
"23051918"	"8372241"	"RT"	"Bureau d'étude Naturalia Environnement"	"1"	"2016-06-16"	"PRUNIER Robin"	"P"	"19856"	"8001"	"928153"	"6241789"	"5.80767502807639"	"43.2387878639534"	"83016"	"Le Beausset"	"83"	""	"Convolvulus lanuginosus Desr., 1792"	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	
"1753870"	"359382"	"RT"	"Bureau d'études ECOMED"	"1"	"2007-04-24"	"LEJEUNE Solenne"	"P"	"19566"	"7895"	"918814"	"6232380"	"5.68889776273137"	"43.1571288960821"	"83112"	"Saint-Cyr-sur-Mer"	"83"	"LE PIGEONNIER"	"Convolvulus lanuginosus Desr."	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	
"20507252"	"8015394"	"RT"	"Agence MTDA"	"1"	"2015-05-19"	"MALLOL Sébastien"	"P"	"19711"	"8000"	"920501"	"6239594"	"5.71265648981889"	"43.221461054145"	"83027"	"La Cadière-d'Azur"	"83"	""	"Convolvulus lanuginosus Desr., 1792"	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	
"239644"	"16750"	"RT"	"Réseau des botanistes amateurs (RBA)"	"1"	"2007-04-27"	"BARREAU Dominique"	"T"	"13044"	"5874"	"697430"	"6206037"	"2.96853536411651"	"42.9537096543522"	"11188"	"La Palme"	"11"	"COMBE DE COMERE"	"Convolvulus lanuginosus"	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	
"1753901"	"359412"	"RT"	"Bureau d'études ECOMED"	"1"	"2007-06-26"	"LEJEUNE Solenne"	"P"	"19855"	"8000"	"925499"	"6237115"	"5.77302252064799"	"43.197614531167"	"83035"	"Le Castellet"	"83"	"LES VAS"	"Convolvulus lanuginosus Desr."	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	
"1753866"	"359378"	"RT"	"Bureau d'études ECOMED"	"1"	"2007-04-24"	"LEJEUNE Solenne"	"P"	"19566"	"7895"	"918834"	"6232450"	"5.68917262671717"	"43.1577520309605"	"83112"	"Saint-Cyr-sur-Mer"	"83"	"LE PIGEONNIER"	"Convolvulus lanuginosus Desr."	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	
"12732643"	"2656606"	"RT"	"Conservatoire botanique national méditerranéen de Porquerolles (CBNMed)"	"1"	"2017-01-08"	"PIRES Mathias"	"P"	"19566"	"7895"	"918454"	"6232179"	"5.68439337318807"	"43.1554321730126"	"83112"	"Saint-Cyr-sur-Mer"	"83"	"POINTE FAUCONNIÈRE"	"Convolvulus lanuginosus Desr., 1792"	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	
"1753822"	"359343"	"RT"	"Bureau d'études ECOMED"	"1"	"2007-06-26"	"LEJEUNE Solenne"	"P"	"19712"	"8001"	"921858"	"6241270"	"5.73004995716482"	"43.2361073908478"	"83035"	"Le Castellet"	"83"	"VALLON DU CANNET"	"Convolvulus lanuginosus Desr."	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	
"20507893"	"8015590"	"RT"	"Agence MTDA"	"1"	"2015-05-19"	"MALLOL Sébastien"	"P"	"19711"	"8000"	"920556"	"6239499"	"5.71329243738724"	"43.2205900291286"	"83027"	"La Cadière-d'Azur"	"83"	""	"Convolvulus lanuginosus Desr., 1792"	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	
"1753854"	"359367"	"RT"	"Bureau d'études ECOMED"	"1"	"2007-04-26"	"LEJEUNE Solenne"	"P"	"19566"	"7895"	"919874"	"6233023"	"5.70218373336561"	"43.16258368225"	"83112"	"Saint-Cyr-sur-Mer"	"83"	"LA MADRAGUE"	"Convolvulus lanuginosus Desr."	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	
"1753849"	"359362"	"RT"	"Bureau d'études ECOMED"	"1"	"2007-06-26"	"LEJEUNE Solenne"	"P"	"19712"	"8001"	"922060"	"6240480"	"5.73219743055368"	"43.2289426100036"	"83027"	"La Cadière-d'Azur"	"83"	"VALLON DU CANNET"	"Convolvulus lanuginosus Desr."	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	
"23013562"	"8362310"	"RT"	"Conservatoire botanique national méditerranéen de Porquerolles (CBNMed)"	"1"	"2018-12-02"	"MORVANT Yves / MICHAUD Henri / PAQUIER Thibault"	"P"	"19566"	"7895"	"918931"	"6232573"	"5.69041518298693"	"43.1588280162341"	"83112"	"Saint-Cyr-sur-Mer"	"83"	"LE PIGEONNIER"	"Convolvulus lanuginosus Desr., 1792"	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	
"1753848"	"359361"	"RT"	"Bureau d'études ECOMED"	"1"	"2007-06-29"	"LEJEUNE Solenne"	"P"	"19710"	"8000"	"922428"	"6231347"	"5.73283410475009"	"43.1467271841757"	"83009"	"Bandol"	"83"	"ROUSTAGNON"	"Convolvulus lanuginosus Desr."	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	
"1763266"	"361506"	"RT"	"Réseau des botanistes amateurs (RBA)"	"2"	"2010-12-09"	"MORVANT Yves"	"P"	"19710"	"8000"	"922928"	"6231347"	"5.73897237198554"	"43.1465713928862"	"83009"	"Bandol"	"83"	"ROUSTAGNON"	"Convolvulus lanuginosus Desr."	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	
"4103843"	"653985"	"RT"	"Bureau d'étude BIODIV"	"1"	"2014-05-20"	"BARET Julien"	"P"	"18468"	"7573"	"879314"	"6250677"	"5.21007368100039"	"43.3326573515705"	"13033"	"Ensuès-la-Redonne"	"13"	""	"Convolvulus lanuginosus Desr., 1792"	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	
"1753820"	"359341"	"RT"	"Bureau d'études ECOMED"	"1"	"2007-04-24"	"LEJEUNE Solenne"	"P"	"19566"	"7895"	"918805"	"6232169"	"5.68869899744793"	"43.1552348847943"	"83112"	"Saint-Cyr-sur-Mer"	"83"	"LE PIGEONNIER"	"Convolvulus lanuginosus Desr."	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	
"1415933"	"284975"	"RT"	"Bureau d'études ECOMED"	"1"	"2007-06-19"	"AUDA Pascal"	"P"	"19424"	"7895"	"911259"	"6238530"	"5.59861244198332"	"43.2146910509558"	"13028"	"La Ciotat"	"13"	"ROUMAGOUA"	"Convolvulus lanuginosus Desr."	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	
"23013566"	"8362313"	"RT"	"Conservatoire botanique national méditerranéen de Porquerolles (CBNMed)"	"1"	"2018-12-02"	"MORVANT Yves / MICHAUD Henri / PAQUIER Thibault"	"P"	"19566"	"7895"	"919300"	"6232570"	"5.69494500171067"	"43.1586878885807"	"83112"	"Saint-Cyr-sur-Mer"	"83"	"LA NARTETTE"	"Convolvulus lanuginosus Desr., 1792"	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	
"23013542"	"8362298"	"RT"	"Conservatoire botanique national méditerranéen de Porquerolles (CBNMed)"	"1"	"2018-12-02"	"MICHAUD Henri"	"P"	"19566"	"7895"	"918945"	"6231999"	"5.69034685512791"	"43.1536638036709"	"83112"	"Saint-Cyr-sur-Mer"	"83"	"LE RESQUILLADOU"	"Convolvulus lanuginosus Desr., 1792"	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	
"117685"	"10011"	"RT"	"Conservatoire botanique national méditerranéen de Porquerolles (CBNMed)"	"1"	"1998-12-31"	"MICHAUD Henri"	"P"	"13591"	"6039"	"711240"	"6227675"	"3.13807497217255"	"43.1482346148189"	"11262"	"Narbonne"	"11"	"ROMARIN"	"Convolvulus lanuginosus Desr."	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	
"20474588"	"8009821"	"RT"	"Association des Ecologistes de l'Euzière"	"1"	"2015-05-05"	"AUPY Emeline"	"P"	"12521"	"5679"	"684415"	"6184972"	"2.80981360952533"	"42.7641220282355"	"66014"	"Baixas"	"66"	""	"Convolvulus lanuginosus Desr., 1792"	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	
"4127563"	"658052"	"RT"	"Bureau d'études ECOSPHERE"	"1"	"2013-05-24"	"CROUZET Nicolas"	"P"	"19856"	"8001"	"926834"	"6241910"	"5.79150945302508"	"43.2402961755776"	"83035"	"Le Castellet"	"83"	""	"Convolvulus lanuginosus Desr., 1792"	""	"92329"	"Convolvulus lanuginosus Desr., 1792"	
