id_releve	orga_fournisseur	programmes	date_releve_deb	date_releve_fin	releve_type	observateurs	insee	lieudit	comm_loc	comm_milieu	lithologie	geologie	exposition	pente	rec_total	refbiblio	page	code_perso	id_precision	x_l93	y_l93
8668	Conservatoire botanique national méditerranéen de Porquerolles		2004-07-08	2004-07-08	Bibliographie	BRUNET Catherine	11202	PLATEAU DE LEUCATE	Pech Roux. Etude PNR Narbonnaise : Site Natura 2000 Plateau de Leucate, FR 9101442 - Inventaire et cartographie des habitats	Plateau. Garrigue à Ciste de Montpellier - Cor. 32.433			Nord		>75%	Inconnu, . Etude PNR Narbonnaise : Site Natura 2000 Plateau de Leucate, FR 9101442 - Inventaire et cartographie des habitats	""	Rel 9	P	704023	6201963
259247	Conservatoire botanique national méditerranéen de Porquerolles		1976-01-01	1976-12-31	Bibliographie	LOISEL Roger	13022			Helianthemo-Ericetum multiflorae Mol. 1934.		Roches sédimentaires carbonatées : calcaires	Sud	1° à 5°	50-75%	LOISEL R., 1976. La végétation de l'étage méditerranéen dans le Sud-Est continental français. Thèse Univ. Aix-Marseille III, 380 p. + annexes.		rel571	T	909645	6237614
259589	Conservatoire botanique national méditerranéen de Porquerolles		1957-01-01	1957-12-31	Bibliographie	MOLINIER René Hervé André	13028	BAGUIER	Entre Saint-Cyr et le Caunet, au Baguier.	Helianthemeto-Ericetum multiflorae Mol. 1934			Sud		50-75%	MOLINIER RE., 1957. Monographies phytosociologiques. La végétation du bassin synclinal de la Ciotat-le Beausset (Var). Bull. Mus. Hist. Nat. Marseille 17 : 45-71.		rel6	T	916143	6237408
273485	Conservatoire botanique national méditerranéen de Porquerolles		1964-01-01	1964-12-31	Bibliographie	MOLINIER René Hervé André	13033		Entre Ensuès et le Rouet.				Sud		50-75%	MOLINIER RE., 1964. Monographies phytosociologiques. Le Massif de la Nerthe (Bouches-du-Rhône). Bull. Mus. Hist. Nat. Marseille 24 : 5-32.	20		T	877984	6251792
327447	Conservatoire botanique national méditerranéen de Porquerolles		1976-01-01	1976-12-31	Bibliographie	LOISEL Roger	83009			Helianthemo-Ericetum multiflorae Mol. 1934.			Sud	< à 1°	50-75%	LOISEL R., 1976. La végétation de l'étage méditerranéen dans le Sud-Est continental français. Thèse Univ. Aix-Marseille III, 380 p. + annexes.		rel570	C	924100	6230200
327448	Conservatoire botanique national méditerranéen de Porquerolles		1976-01-01	1976-12-31	Bibliographie	LOISEL Roger	83035			Helianthemo-Ericetum multiflorae Mol. 1934.			Sud	1° à 5°	50-75%	LOISEL R., 1976. La végétation de l'étage méditerranéen dans le Sud-Est continental français. Thèse Univ. Aix-Marseille III, 380 p. + annexes.		rel572	C	925700	6237700
327449	Conservatoire botanique national méditerranéen de Porquerolles		1976-01-01	1976-12-31	Bibliographie	LOISEL Roger	83		Entre Le Beausset et Le Camp [étant donné la liste d'espèces, c'est forcément sur les pentes d'adret le long de la route du Beausset au Camp. H. Michaud]	Helianthemo-Ericetum multiflorae Mol. 1934.			Sud-Est	< à 1°	>75%	LOISEL R., 1976. La végétation de l'étage méditerranéen dans le Sud-Est continental français. Thèse Univ. Aix-Marseille III, 380 p. + annexes.		rel573	N		
327933	Conservatoire botanique national méditerranéen de Porquerolles		1957-01-01	1957-12-31	Bibliographie	MOLINIER René Hervé André	83027	LA COLETTE	Au nord de la Cadière-d'Azur, à la Colette.	Helianthemeto-Ericetum multiflorae Mol. 1934			Sud		50-75%	MOLINIER RE., 1957. Monographies phytosociologiques. La végétation du bassin synclinal de la Ciotat-le Beausset (Var). Bull. Mus. Hist. Nat. Marseille 17 : 45-71.		rel5	T	922422	6238324
327934	Conservatoire botanique national méditerranéen de Porquerolles		1957-01-01	1957-12-31	Bibliographie	MOLINIER René Hervé André	83112	POINTE GRENIER		Helianthemeto-Ericetum multiflorae Mol. 1934			Sud		>75%	MOLINIER RE., 1957. Monographies phytosociologiques. La végétation du bassin synclinal de la Ciotat-le Beausset (Var). Bull. Mus. Hist. Nat. Marseille 17 : 45-71.		rel7	T	918389	6232698
327935	Conservatoire botanique national méditerranéen de Porquerolles		1957-01-01	1957-12-31	Bibliographie	MOLINIER René Hervé André	83035	LA LAOUQUE	Le Beausset : La Laouque, au nord du Brûlat.	Helianthemeto-Ericetum multiflorae Mol. 1934			Sud		50-75%	MOLINIER RE., 1957. Monographies phytosociologiques. La végétation du bassin synclinal de la Ciotat-le Beausset (Var). Bull. Mus. Hist. Nat. Marseille 17 : 45-71.		rel8	T	924807	6240143
