site;type_bio;A.x;B.x;C.x;A.y;B.y;C.y;A.x;B.x;C.x;A.y;B.y;C.y;A.x;B.x;C.x;A.y;B.y;C.y;A.x;B.x;C.x;A.y;B.y;C.y;A.x;B.x;C.x;A.y;B.y;C.y
Roche;;21;7,583333333;4,5;0;0;0;1;2,75;0;0;0;0;0;0;12,58333333;1,5;15,66666667;0,5;36,58333333;37,41666667;49,58333333;12,25;16;13,83333333;0;0;0;12,91666667;5,833333333;15,16666667
Blocs  >25 cm;;0,333333333;0,333333333;1;0;0;1,2;0;0;0;0;0;0;8,833333333;7,166666667;1,333333333;0,333333333;4,5;1,666666667;2,333333333;2,333333333;1,333333333;3,416666667;3,666666667;13,5;0;0;0;1;2,5;1
Pierres 2,5-25 cm ;;2,5;7,666666667;18,28333333;40,11666667;24,36666667;34,58333333;19,53333333;20,11666667;6,666666667;14;6,033333333;27,5;11,58333333;19,83333333;8,083333333;13,75;4,5;11,33333333;7,5;5,083333333;3;10;8,25;4,116666667;1,416666667;0;0,333333333;5,166666667;3,5;0,833333333
Graviers 0,5-2,5 cm;;2,333333333;21,16666667;6,583333333;9,416666667;22,61666667;8,75;29,95;24,28333333;25,58333333;18,83333333;11,83333333;32,53333333;19;13,08333333;12,33333333;9,583333333;1,5;17,83333333;0,666666667;1,416666667;3,916666667;1,833333333;1;0;7,283333333;6;11,33333333;4,666666667;5,416666667;2,083333333
Sol_nu ;;7,166666667;3,416666667;0,833333333;1,25;4,5;3,75;1,833333333;2,833333333;11,83333333;8,333333333;2;3,366666667;1,666666667;5,333333333;4,5;3,666666667;1,166666667;12,08333333;8,833333333;10,2;10,66666667;3,083333333;8,666666667;3,616666667;2,166666667;2;2,583333333;16;6,75;12,91666667
Mousses;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,583333333;0;0,333333333;0,333333333;0;0;0;0;0;0;0;0,333333333;0;0;3,333333333
Lichen;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,333333333;0;0
Litière  arborée;;0;0,333333333;2,166666667;1,5;1,083333333;1,833333333;2,083333333;1,5;5,416666667;0;0,333333333;1,333333333;3,083333333;3,333333333;5,416666667;0;0;0,5;0;0;0;2,083333333;1,833333333;0,5;3,916666667;4,25;9,75;4,166666667;0,833333333;0
Litière au sol;;14,66666667;7,75;6,7;4,916666667;7,2;5,616666667;14,03333333;17,86666667;16,75;18,25;35,11666667;17,5;2,833333333;0,5;9,25;40,75;26,33333333;34,08333333;13,08333333;13,61666667;9,5;9,5;12,16666667;10,28333333;15,2;17,5;14,33333333;23,83333333;25,75;39,66666667
Litière graminée;;0;0,333333333;1;0,833333333;0;0;0;0;0;4,833333333;0,833333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,5;0;21,16666667;1,5
Convolvulus lanuginosus Desr.;;4;7,25;17,28333333;11,78333333;19;17,36666667;5,366666667;4,166666667;4,666666667;6,25;12,58333333;3,533333333;36,75;18,16666667;15,33333333;8,083333333;7,666666667;7,75;5,416666667;6,283333333;10,16666667;13,5;6;7,533333333;8,616666667;5,416666667;6,333333333;6,5;6,833333333;5,25
Anthyllis vulneraria L. subsp. vulneraria;;1,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
avena sp1b;;0;0,333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Avenula bromoides (Gouan) H.Scholz subsp. bromoides;;1,166666667;1,75;0;7,95;0,5;0;1,083333333;0,866666667;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brachypodium retusum (Pers.) P.Beauv.;;20;22,66666667;29,53333333;16,2;6,7;11,83333333;6,283333333;3,333333333;5;14,25;11,03333333;6,033333333;1;8,833333333;0,333333333;7,5;24,5;6,583333333;1,333333333;8,166666667;1,75;25,33333333;31,08333333;21,31666667;4,583333333;15;2,666666667;15,41666667;5,416666667;8,25
Bromus rubens L.;;0,333333333;0;0;3,866666667;0,666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cirsium sp1b;;0;2,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cneorum tricoccon L.;;0,5;3,5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dactylis glomerata L. subsp. glomerata;;1,166666667;0,333333333;0;0,25;0,833333333;2,333333333;0;0;0;0,333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dorycnium pentaphyllum Scop. subsp. pentaphyllum;;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Echinops ritro L. subsp. ritro;;0;0;1,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Echium vulgare L. subsp. vulgare;;0;0,333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eryngium campestre L.;;0;0;0,333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Euphorbia exigua L. subsp. exigua var. exigua;;1;1,75;0,583333333;0;1,533333333;2,666666667;0;0;0;0;0;0;0,833333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fumana sp1a;;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Galium 2 1b;;0;0,333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Galium annuel;;0;0;2,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
galium blanc sp 1b;;0;0,833333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
