Population Latitude Longitude
Leucate 42,9125 3,057891
Lapalme 42,99069 3,01395
Gruissan 43,13503 3,09489
Ceyreste 43,21642 5,60679
Ensues 43,33118 5,2081
Castellet 43,23653 5,7553
Serra_Sp 39,70866 -0,4279
Roja_Sp 39,54764 -0,60005
Conques_Sp 38,90372 -0,25545
Alcai_Sp 38,71985 -0,53925
Alhama_Sp 36,95591 -2,59785
Rute_Sp 37,32975 -4,35373
Marbella_Sp 36,53216 -4,87761
Nerja_Sp 36,76965 -3,85233
Puig_Nau_Sp 40,47567 0,40764
Pennaroya_Sp 40,75126 0,05691
Sitges_Sp 41,26908 1,92494
Barrage_Sp 41,88311 0,57608
Port_Alon 43,149487 5,706398
Azur_Valouc 43,192132 5,738091
Redonnes 43,331026 5,208455
