N° Code;Accession N°;Pop N°;Population;Location;Region;Country;Latitude;Longitude;SSR_CLA02;SSR_CLA02;SSR_CLA16;SSR_CLA16;SSR_CLA19;SSR_CLA19;SSR_CLA22;SSR_CLA22;SSR_CLA26;SSR_CLA26;SSR_CLA28;SSR_CLA28;SSR_CLA35;SSR_CLA35;SSR_CLA40;SSR_CLA40;SSR_CLA43;SSR_CLA43;SSR_CLA58;SSR_CLA58;SSR_CLA62;SSR_CLA62;SSR_CLA70;SSR_CLA70;SSR_CLA72;SSR_CLA72;SSR_CLA80;SSR_CLA80;SSR_CLA82;SSR_CLA82;SSR_CLA83;SSR_CLA83;SSR_CLA91;SSR_CLA91;SSR_CLA92;SSR_CLA92;SSR_CLA94;SSR_CLA94;SSR_CLA96;SSR_CLA96
1;Cla001;Pop01;Leucate;Leucate;LR;France;42,90996;3,05638;118;118;179;179;181;181;188;190;205;205;226;226;290;302;129;129;206;209;143;143;151;151;129;129;139;139;199;199;175;187;243;243;176;176;184;205;235;238;181;184
2;Cla002;Pop01;Leucate;Leucate;LR;France;42,90996;3,05638;118;120;177;179;181;181;188;196;211;211;226;226;292;336;126;129;209;218;139;143;151;157;129;129;133;133;202;202;175;175;243;246;176;176;187;208;223;238;181;181
3;Cla003;Pop01;Leucate;Leucate;LR;France;42,90996;3,05638;118;118;179;179;181;181;190;192;205;213;226;226;292;292;129;132;209;209;139;143;151;151;117;129;143;145;199;202;172;172;243;243;176;179;208;220;235;238;181;187
4;Cla004;Pop01;Leucate;Leucate;LR;France;42,90996;3,05638;118;118;177;179;181;181;192;198;209;209;226;226;286;286;126;129;209;209;143;143;151;151;117;135;139;139;0;0;178;184;234;243;176;176;187;202;229;235;181;181
5;Cla041;Pop01;Leucate;Leucate;LR;France;42,90996;3,05638;118;120;177;179;181;181;192;196;0;0;222;226;288;310;129;129;209;209;143;143;151;161;0;0;139;139;202;202;154;172;234;243;176;176;187;193;235;235;181;193
6;Cla042;Pop01;Leucate;Leucate;LR;France;42,90996;3,05638;118;120;177;179;181;181;192;196;209;211;222;222;288;310;129;129;209;209;143;143;151;161;129;135;139;139;202;202;154;172;234;243;176;176;187;193;235;235;181;193
7;Cla044;Pop01;Leucate;Leucate;LR;France;42,90996;3,05638;0;0;177;179;181;181;0;0;0;0;226;226;0;0;129;129;0;0;139;143;151;151;0;0;139;139;196;199;0;0;234;234;0;0;0;0;235;235;0;0
8;Cla045;Pop01;Leucate;Leucate;LR;France;42,90996;3,05638;0;0;177;179;181;181;188;196;0;0;226;226;292;336;129;129;0;0;139;143;151;151;0;0;139;139;199;199;0;0;234;234;176;188;187;205;235;235;181;187
9;Cla046;Pop01;Leucate;Leucate;LR;France;42,90996;3,05638;118;118;177;177;181;181;188;188;0;0;226;226;288;336;126;129;209;227;0;0;157;157;117;135;0;0;199;202;175;195;243;243;188;200;202;205;223;235;0;0
10;Cla047;Pop01;Leucate;Leucate;LR;France;42,90996;3,05638;118;126;177;177;181;181;190;196;207;211;226;226;310;336;126;126;209;224;143;147;151;151;117;133;125;143;199;202;175;178;243;243;176;197;187;214;235;235;181;184
11;Cla048;Pop01;Leucate;Leucate;LR;France;42,90996;3,05638;118;120;177;179;181;181;192;196;213;213;222;222;288;310;126;129;209;221;137;137;155;155;117;133;125;125;199;199;154;187;234;243;176;176;202;208;235;235;181;193
12;Cla049;Pop01;Leucate;Leucate;LR;France;42,90996;3,05638;118;126;177;179;181;181;190;190;205;205;226;226;292;336;126;129;209;209;143;143;163;163;117;141;133;143;199;199;172;189;243;246;176;176;205;205;235;235;178;181
13;Cla051;Pop01;Leucate;Leucate;LR;France;42,90996;3,05638;118;120;177;177;181;181;188;192;205;213;226;226;286;336;126;129;197;200;139;147;151;157;117;135;139;139;199;202;172;175;243;243;176;188;187;202;235;235;181;184
14;Cla052;Pop01;Leucate;Leucate;LR;France;42,90996;3,05638;118;118;177;179;181;181;190;192;205;207;226;226;288;296;126;129;209;218;143;143;151;151;117;139;139;139;196;199;175;195;234;243;176;179;202;202;235;238;178;181
15;Cla054;Pop01;Leucate;Leucate;LR;France;42,90996;3,05638;118;118;177;177;181;181;188;188;207;213;226;226;288;336;126;129;209;227;139;147;157;157;117;135;133;145;202;202;175;195;243;243;188;200;202;202;223;235;181;187
16;Cla055;Pop01;Leucate;Leucate;LR;France;42,90996;3,05638;118;120;177;177;181;181;188;196;205;209;226;226;310;336;129;132;224;233;143;143;151;151;117;117;139;145;199;202;178;178;243;243;176;179;205;205;235;235;181;181
17;Cla057;Pop02;Lapalme;Lapalme;LR;France;42,99069;3,01395;118;144;177;179;181;181;188;192;205;207;226;226;292;310;126;129;209;209;139;143;161;161;133;141;133;143;199;199;175;175;243;243;176;176;187;202;238;238;181;181
18;Cla058;Pop02;Lapalme;Lapalme;LR;France;42,99069;3,01395;118;120;177;177;181;181;192;192;209;213;222;222;292;292;129;129;200;200;143;143;151;151;133;141;145;145;202;202;175;175;240;243;173;176;202;202;235;235;181;181
19;Cla059;Pop02;Lapalme;Lapalme;LR;France;42,99069;3,01395;118;120;177;177;181;181;190;190;207;207;226;226;300;300;129;132;200;209;143;143;151;161;0;0;0;0;202;202;0;0;234;243;176;176;187;223;238;238;181;181
20;Cla060;Pop02;Lapalme;Lapalme;LR;France;42,99069;3,01395;120;120;177;177;181;181;188;192;205;213;226;226;292;298;129;129;209;209;143;143;151;151;135;139;133;145;202;202;175;187;243;243;176;179;202;202;235;238;181;181
21;Cla061;Pop02;Lapalme;Lapalme;LR;France;42,99069;3,01395;118;144;177;181;181;181;188;198;207;207;226;226;292;298;132;132;224;227;143;143;151;151;133;141;133;147;199;199;166;175;234;234;176;176;202;202;235;235;181;184
22;Cla062;Pop02;Lapalme;Lapalme;LR;France;42,99069;3,01395;120;144;177;179;181;181;192;198;207;213;226;226;292;302;129;132;209;218;143;143;161;161;133;133;143;145;0;0;172;189;243;243;176;182;187;205;235;238;181;184
23;Cla063;Pop02;Lapalme;Lapalme;LR;France;42,99069;3,01395;118;120;177;179;181;181;192;196;205;207;226;226;290;292;129;132;200;209;140;143;151;151;137;145;133;145;202;202;172;187;243;243;173;176;187;202;235;235;181;184
24;Cla064;Pop02;Lapalme;Lapalme;LR;France;42,99069;3,01395;118;120;177;179;181;181;190;198;209;213;226;226;292;300;129;132;209;227;143;145;161;161;135;141;133;145;0;0;166;172;234;234;176;176;202;202;235;235;184;184
25;Cla065;Pop02;Lapalme;Lapalme;LR;France;42,99069;3,01395;118;120;177;177;181;181;190;190;207;207;226;226;292;308;129;129;209;215;143;143;161;161;135;145;143;143;199;199;172;175;243;243;176;179;202;214;235;235;181;184
26;Cla066;Pop02;Lapalme;Lapalme;LR;France;42,99069;3,01395;118;118;177;177;181;181;190;192;207;207;226;226;290;292;129;132;197;221;143;145;151;161;135;145;133;145;202;202;163;175;234;243;170;179;202;202;235;238;181;184
27;Cla067;Pop02;Lapalme;Lapalme;LR;France;42,99069;3,01395;118;118;177;179;175;181;192;192;205;209;226;226;292;292;129;132;209;212;139;145;151;151;117;133;151;151;203;203;166;166;240;243;170;179;202;214;235;235;181;181
