gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
2558247560																										29C2EF5C-6CFF-43C1-9FDE-6EC89DACE94D									es				2016-01-12T13:21:27.0Z															PhysicalObject					VAL	VAL	Colección de plantas vasculares del herbario de la Universitat de València (VAL)		PreservedSpecimen				29C2EF5C-6CFF-43C1-9FDE-6EC89DACE94D	227971-1		S. Fos	1																												2004-06-07				2004	06	07	07062004	matorrales secos calcáreos														España	ES	VALENCIA		Montserrat (Ribera Alta)	Montserrat (Ribera Alta), MRF “Les Coves”		255.00	255.00									39.36	-0.62		71			30SYJ045598																																																Convolvulus lanuginosus Desr.												Convolvulaceae	Convolvulus		lanuginosus				Desr.					
2558246423																										04E42082-429F-4F38-9D27-2366B57ED435									es				2016-12-05T11:59:29.0Z															PhysicalObject					VAL	VAL	Colección de plantas vasculares del herbario de la Universitat de València (VAL)		PreservedSpecimen				04E42082-429F-4F38-9D27-2366B57ED435	229729-1		M.A. Carrasco & S. Pajarón	1									Pliego							EX DUPLIS Herb. MA-854558												1992-04-28				1992	04	28	28041992															España	ES	MURCIA			La Unión, Sierra de Cartagena, Portman																																																					J. Fabado	2016 - 12												Convolvulus lanuginosus Desr.												Convolvulaceae	Convolvulus		lanuginosus				Desr.					
2558236571																										48C8D4E7-47D6-457C-AC64-419822CDED3C									es				2016-01-12T13:21:27.0Z															PhysicalObject					VAL	VAL	Colección de plantas vasculares del herbario de la Universitat de València (VAL)		PreservedSpecimen				48C8D4E7-47D6-457C-AC64-419822CDED3C	221804-1		L. Medina	1																											LM3958	2007-05-02				2007	05	02	02/05/2007	matorral mediterráneo														España	ES	CASTELLÓN		Alcalà de Xivert (Baix Maestrat)	Alcalá de Xivert (Baix Maestrat), Serra d´Hirta, Alcossebre, pr. Villa Carolina		5.00	5.00									40.26	0.30					31T 271185 4460963																																																Convolvulus lanuginosus Desr.												Convolvulaceae	Convolvulus		lanuginosus				Desr.					
2558234803																										2D87FCBA-7A4E-4316-81D2-7D7CF08D1690									es				2016-01-12T13:21:27.0Z															PhysicalObject					VAL	VAL	Colección de plantas vasculares del herbario de la Universitat de València (VAL)		PreservedSpecimen				2D87FCBA-7A4E-4316-81D2-7D7CF08D1690	223576-1		J.X. Soler & M. Signes	1																											JXS-1635	1995-04-08				1995	04	08	08/04/1995	matorral														España	ES	ALICANTE		Benigembla (Marina Alta)	Benigembla (Marina Alta), penya de l´Altar		900.00	900.00									38.72	-0.10		707			30SYH5190																																																Convolvulus lanuginosus Desr.												Convolvulaceae	Convolvulus		lanuginosus				Desr.					
2529355356																										36625801										http://creativecommons.org/licenses/by-nc/4.0/			2019-12-13T21:26:34Z			https://www.inaturalist.org/observations/36625801				© Ángel Fernández Cancio some rights reserved	Ángel Fernández Cancio												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/36625801	36625801		Ángel Fernández Cancio								wild																					1998-04-15T21:47:00+02:00	19:47:00Z						1998/04/15 9:47 PM CEST																ES	Castilla-La Mancha				Zona de Agramón, Albacete , España											38.4382221544	-1.6629414255		8																																			80527759				2019-12-13T21:04:40Z				324313								Convolvulus lanuginosus								Plantae	Tracheophyta	Magnoliopsida	Solanales	Convolvulaceae	Convolvulus				species							
2521357088																										87C0C6D2-4229-4F37-BD25-F0C9D863B62F													2018-08-27T09:03:20.0Z																	6f3ccc65-0a54-4e65-ae7e-13b92d618e7c		838475f4-f762-11e1-a439-00145eb45e9a	BC	BC	Institut Botanic de Barcelona (IBB-CSIC-ICUB), BC-Plantes vasculars		PreservedSpecimen				87C0C6D2-4229-4F37-BD25-F0C9D863B62F	BC-BC-843539		B. Díaz-Garduño, N. Montes-Moreno, N. Nualart & D. Pérez-Prieto										Herbarium specimen																			2018-06-21				2018	6	21		Matorral mesomediterráneo termófilo					CAMPAÑA RECOLECCIÓN AHIM 2018									Spain	ES	ALMERÍA			Fondon; Sierra de Gádor, cerca de Fuente Victoria		980	980									36.9693	-2.8804		70.7106781186548			30SWF106914																																							Stored under name									Convolvulus lanuginosus Desr.								Plantae	Tracheophyta	Magnoliopsida	Solanales	Convolvulaceae	Convolvulus		lanuginosus		Species		Desr.					
2521352456																										5E09ABF4-D2B3-4F1E-9139-0FEECBD9EBBB													2019-10-10T09:35:56.0Z																	6f3ccc65-0a54-4e65-ae7e-13b92d618e7c		838475f4-f762-11e1-a439-00145eb45e9a	BC	BC	Institut Botanic de Barcelona (IBB-CSIC-ICUB), BC-Plantes vasculars		PreservedSpecimen				5E09ABF4-D2B3-4F1E-9139-0FEECBD9EBBB	BC-BC-991364		J. Borja										Herbarium specimen							S. 249. 6993. 3. Ex Herbari de l'Institut Ausiàs March donat a l'Institut Botànic de Barcelona l'any 2015. Número intern: 9.61											261	1946-05-10				1946	5	10							Flora Hispánica-Herbario Normal. Centuria III									Spain	ES	VALENCIA			Corbera; Corbera d'Alcira, Serra de la Murta												39.1243	-0.371		500			39º7'46''N 0º22'26''W																																							Stored under name									Convolvulus lanuginosus Desr.								Plantae	Tracheophyta	Magnoliopsida	Solanales	Convolvulaceae	Convolvulus		lanuginosus		Species		Desr.					
2521348197																										36F0FBD6-A5BF-4123-90AF-07EBE2CE63A3													2018-06-05T12:07:45.0Z																	6f3ccc65-0a54-4e65-ae7e-13b92d618e7c		838475f4-f762-11e1-a439-00145eb45e9a	BC	BC	Institut Botanic de Barcelona (IBB-CSIC-ICUB), BC-Plantes vasculars		PreservedSpecimen				36F0FBD6-A5BF-4123-90AF-07EBE2CE63A3	BC-BC-963425	GR476	T. Garnatje, A. Gras & J. Vallès										Herbarium specimen																			2016-05-06				2016	5	6																Spain	ES	LLEIDA			Les Garrigues																																																									Stored under name									Convolvulus lanuginosus Desr.								Plantae	Tracheophyta	Magnoliopsida	Solanales	Convolvulaceae	Convolvulus		lanuginosus		Species		Desr.					
2519201995																										e8296cf0-8124-11e9-bd18-005056010096													2019-10-30																			4A9DDA1F-B719-3E13-E053-2614A8C02B7C	ONF				HumanObservation		Géographie transmise soumise à floutage (grille avec mailles de 10x10km) pour le grand public » en conformité avec les règles de diffusion du SINP | Geographic information generalized during aggregation (grid with 10x10km cells) for the general public, according to SINP communication rules		e8296cf0-8124-11e9-bd18-005056010096			Jean-Claude LINCKER (INCONNU)									Présent																	e8296cf0-8124-11e9-bd18-005056010096			2009-08-25																						France	FR		11													Data isn’t the original geo referenced one, but attached to the nearest 10x10 km grid cell	43.12423	3.06144		5000																																						Non renseigné (Non renseigné)			Control could not be conclusive due to insufficient knowledge		92329								Convolvulus lanuginosus Desr., 1792			Convolvulus lanuginosus Desr., 1792	TAXREF v12																				
2517754950																										WAG.1270119@BRAHMS										CC0 1.0											Naturalis Biodiversity Center									Naturalis Biodiversity Center				Botany			PreservedSpecimen				https://data.biodiversitydata.nl/naturalis/specimen/WAG.1270119	WAG.1270119		Bourgeau (Spain series) E																													1850-05-04																		Europe				Spain					environs de Murcia.														WGS84																																																				Convolvulus lanuginosus Desr.							Plantae|Magnoliopsidae|Solanales|Convolvulaceae	Plantae		Magnoliopsidae	Solanales	Convolvulaceae	Convolvulus		lanuginosus		species		Desr.		ICN			
