Nom_espece_source;Latitude;Longitude
Convolvulus lanuginosus;36,516279;-6,138624
Convolvulus lanuginosus;36,53216;-4,87761
Convolvulus lanuginosus;36,533983;-4,877838
Convolvulus lanuginosus   Desr.;36,53879;-5,65862
Convolvulus lanuginosus;36,76305;-3,834164
Convolvulus lanuginosus   ;36,76372;-3,85153
Convolvulus lanuginosus   ;36,7678;-4,37818
Convolvulus lanuginosus;36,76965;-3,85233
Convolvulus lanuginosus   ;36,77274;-3,85163
Convolvulus lanuginosus   ;36,78183;-3,84052
Convolvulus lanuginosus   ;36,78214;-3,7957
Convolvulus lanuginosus;36,794605;-3,617227
Convolvulus lanuginosus   ;36,79945;-3,89676
Convolvulus lanuginosus   Desr.;36,79978;-3,85192
Convolvulus lanuginosus   Desr.;36,80031;-3,77346
Convolvulus lanuginosus   ;36,81748;-3,89697
Convolvulus lanuginosus   Desr.;36,81908;-3,65032
Convolvulus lanuginosus   ;36,82587;-3,97556
Convolvulus lanuginosus   Desr.;36,82596;-3,96435
Convolvulus lanuginosus   Desr.;36,8439;-3,97579
Convolvulus lanuginosus   ;36,84426;-3,93093
Convolvulus lanuginosus   Desr.;36,8458;-3,70663
Convolvulus lanuginosus;36,848061;-3,611114
Convolvulus lanuginosus   ;36,85291;-3,9759
Convolvulus lanuginosus   ;36,85336;-3,91982
Convolvulus lanuginosus   Desr.;36,85482;-3,70671
Convolvulus lanuginosus   Desr.;36,85501;-3,67306
Convolvulus lanuginosus   Desr.;36,87898;-4,08844
Convolvulus lanuginosus   ;36,87908;-4,07722
Convolvulus lanuginosus;36,887545;-2,919728
Convolvulus lanuginosus;36,889033;-2,921633
Convolvulus lanuginosus   ;36,94165;-4,13425
Convolvulus lanuginosus;36,95591;-2,59785
Convolvulus lanuginosus;36,95591;-2,59785
Convolvulus lanuginosus;37,000956;-2,904631
Convolvulus lanuginosus;37,012544;-2,823631
Convolvulus lanuginosus;37,32868;-4,35535
Convolvulus lanuginosus;37,32975;-4,35373
Convolvulus lanuginosus;37,789092;-3,409646
Convolvulus lanuginosus   Desr.;38,01598;-2,06584
Convolvulus lanuginosus;38,08367;-0,9932
Convolvulus lanuginosus;38,08805;-0,99243
Convolvulus lanuginosus;38,09209;-0,95876
Convolvulus lanuginosus;38,09229;-0,97016
Convolvulus lanuginosus;38,09268;-0,99295
Convolvulus lanuginosus;38,09287;-1,00435
Convolvulus lanuginosus;38,20982;-0,5215
Convolvulus lanuginosus;38,2362;-0,95474
Convolvulus lanuginosus;38,2444;-0,9088
Convolvulus lanuginosus;38,25195;-0,8286
