;;;;;;;;;;;;Variables WORLD CLIM;;;;;;;;;;;;;;;;;;
code;base;gbifID;year;dateIdentified;espece;country;lon;lat;posi;studied;altitude;bio_1;bio_2;bio_3;bio_4;bio_5;bio_6;bio_7;bio_8;bio_9;bio_10;bio_11;bio_12;bio_13;bio_14;bio_15;bio_16;bio_17;bio_18;bio_19
bdd2901;cl2368;cl1;NA;NA;Convolvulus lanuginosus;france;3,045;42,91;p;y;35;151;91;35;5584;288;34;254;119;224;224;81;607;86;20;30;205;92;92;159
bdd2902;cl2369;cl2;NA;NA;Convolvulus lanuginosus;france;3,01395;42,99069;p;y;82;148;92;35;5624;286;30;256;116;221;221;77;628;86;22;28;208;98;98;167
bdd2904;cl2370;cl3;NA;NA;Convolvulus lanuginosus;france;3,09489;43,13503;p;y;64;147;94;36;5658;287;29;258;114;221;221;76;638;86;22;28;209;100;100;172
bdd2905;cl2371;cl4;NA;NA;Convolvulus lanuginosus;france;5,60679;43,21642;p;y;134;140;86;34;5585;274;28;246;110;213;213;71;646;86;13;37;237;77;77;189
bdd2906;cl2372;cl5;NA;NA;Convolvulus lanuginosus;france;5,212;43,337;p;y;127;136;94;35;5921;281;16;265;144;213;213;62;605;85;15;35;217;80;80;167
bdd2907;cl2373;cl6;NA;NA;Convolvulus lanuginosus;Spain;-0,4279;39,70866;c;y;527;145;92;37;5466;277;34;243;156;216;219;80;487;70;17;34;178;77;97;105
bdd2908;cl2374;cl7;NA;NA;Convolvulus lanuginosus;Spain;-0,60004;39,5476;c;y;184;165;93;39;5272;292;54;238;176;233;236;101;431;74;12;43;172;57;80;97
bdd2909;cl2375;cl8;NA;NA;Convolvulus lanuginosus;Spain;-0,25545;38,90372;c;y;288;166;101;40;5320;301;49;252;142;235;238;102;511;81;9;46;207;54;84;137
bdd2910;cl2376;cl9;NA;NA;Convolvulus lanuginosus;Spain;-0,53925;38,71985;c;y;863;135;106;39;5744;285;16;269;147;211;214;67;544;74;16;33;188;77;92;129
bdd2911;cl2377;cl10;NA;NA;Convolvulus lanuginosus;Spain;-2,59785;36,95591;c;y;673;152;100;37;5617;300;36;264;96;227;229;86;362;44;5;46;126;24;31;123
gbif1710;1710;332166190;2010;2010-05-07T22:00:00.000+0000;Convolvulus lanuginosus;France;2,74624;43,36606;p;n;315;131;95;36;5709;274;14;260;97;205;205;59;729;80;31;20;219;132;132;198
bdd2086;cl1634;6005;NA;0;Convolvulus lanuginosus;France;5,43701;43,349;p;n;124;137;91;35;5846;279;19;260;103;213;213;63;618;84;14;35;220;80;80;173
bdd2069;cl1619;6005;NA;0;Convolvulus lanuginosus;France;5,46147;43,26303;p;n;493;119;85;34;5603;255;9;246;89;193;193;50;714;90;20;31;247;101;101;201
