id_observation	id_releve	code_perso	id_releve_type	nom_org_f	date_releve_deb	annee	date_releve_fin	nom_obs	nom_org_obs	id_precision	code_gps	id_maille_inpn_10	id_maille_inpn_5	x_l93	y_l93	lon_wgs84	lat_wgs84	commune	insee_comm	insee_dept	lieudit	nom_cite	cd_nom	cd_ref	nom_reconnu	tax_type	rang	famille	nom_programme	sinp_dspublique	valid_reg	
"1347589"	"274767"	""	"RT"	"Bureau d'études ECO-MED (Ecologie et Médiation)"	"2006-04-26"	"2006"	"2006-04-26"	"LIJNEN Delphine"	"Bureau d'études ECO-MED (Ecologie et Médiation)"	"P"	""	"10kmL93E091N623"	"5kmL93E0910N6235"	"914344"	"6236993"	"5.63590092359549"	"43.1999537139388"	"La Ciotat"	"13028"	"13"	"CHEMIN CHARRE"	"Convolvulus lanuginosus Desr."	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	"P"	"ES"	"Convolvulaceae"	""	""	"Probable"	
"1347588"	"274766"	""	"RT"	"Bureau d'études ECO-MED (Ecologie et Médiation)"	"2006-04-26"	"2006"	"2006-04-26"	"LIJNEN Delphine"	"Bureau d'études ECO-MED (Ecologie et Médiation)"	"P"	""	"10kmL93E091N623"	"5kmL93E0910N6235"	"914343"	"6236963"	"5.63587632452413"	"43.1996843159623"	"La Ciotat"	"13028"	"13"	"CHEMIN CHARRE"	"Convolvulus lanuginosus Desr."	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	"P"	"ES"	"Convolvulaceae"	""	""	"Probable"	
"1347587"	"274765"	""	"RT"	"Bureau d'études ECO-MED (Ecologie et Médiation)"	"2006-04-26"	"2006"	"2006-04-26"	"LIJNEN Delphine"	"Bureau d'études ECO-MED (Ecologie et Médiation)"	"P"	""	"10kmL93E091N623"	"5kmL93E0910N6235"	"914383"	"6236964"	"5.63636826825955"	"43.1996812964559"	"La Ciotat"	"13028"	"13"	"CHEMIN CHARRE"	"Convolvulus lanuginosus Desr."	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	"P"	"ES"	"Convolvulaceae"	""	""	"Probable"	
"1347592"	"274770"	""	"RT"	"Bureau d'études ECO-MED (Ecologie et Médiation)"	"2006-04-26"	"2006"	"2006-04-26"	"LIJNEN Delphine"	"Bureau d'études ECO-MED (Ecologie et Médiation)"	"P"	""	"10kmL93E091N623"	"5kmL93E0910N6235"	"914383"	"6236954"	"5.63636416396009"	"43.1995913970919"	"La Ciotat"	"13028"	"13"	"CHEMIN CHARRE"	"Convolvulus lanuginosus Desr."	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	"P"	"ES"	"Convolvulaceae"	""	""	"Probable"	
"1347591"	"274769"	""	"RT"	"Bureau d'études ECO-MED (Ecologie et Médiation)"	"2006-04-26"	"2006"	"2006-04-26"	"LIJNEN Delphine"	"Bureau d'études ECO-MED (Ecologie et Médiation)"	"P"	""	"10kmL93E091N623"	"5kmL93E0910N6235"	"914334"	"6236984"	"5.63577434660452"	"43.1998758065125"	"La Ciotat"	"13028"	"13"	"CHEMIN CHARRE"	"Convolvulus lanuginosus Desr."	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	"P"	"ES"	"Convolvulaceae"	""	""	"Probable"	
"1347590"	"274768"	""	"RT"	"Bureau d'études ECO-MED (Ecologie et Médiation)"	"2006-04-26"	"2006"	"2006-04-26"	"LIJNEN Delphine"	"Bureau d'études ECO-MED (Ecologie et Médiation)"	"P"	""	"10kmL93E091N623"	"5kmL93E0910N6235"	"914393"	"6236924"	"5.63647473368766"	"43.1993186963466"	"La Ciotat"	"13028"	"13"	"CHEMIN CHARRE"	"Convolvulus lanuginosus Desr."	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	"P"	"ES"	"Convolvulaceae"	""	""	"Probable"	
"1406501"	"283712"	""	"RT"	"Bureau d'études ECO-MED (Ecologie et Médiation)"	"2007-04-13"	"2007"	"2007-04-13"	"LEJEUNE Solenne / AUDA Pascal"	"Bureau d'études ECO-MED (Ecologie et Médiation) / Bureau d'études ECO-MED (Ecologie et Médiation)"	"P"	""	"10kmL93E091N623"	"5kmL93E0910N6235"	"910698"	"6238899"	"5.59186569938352"	"43.2181742628579"	"La Ciotat"	"13028"	"13"	"ROUMAGOUA"	"Convolvulus lanuginosus Desr."	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	"P"	"ES"	"Convolvulaceae"	""	""	"Probable"	
"1415742"	"284810"	""	"RT"	"Bureau d'études ECO-MED (Ecologie et Médiation)"	"2007-06-19"	"2007"	"2007-06-19"	"AUDA Pascal"	"Bureau d'études ECO-MED (Ecologie et Médiation)"	"P"	""	"10kmL93E091N623"	"5kmL93E0910N6235"	"911439"	"6238610"	"5.60085735037083"	"43.2153569683539"	"La Ciotat"	"13028"	"13"	"ROUMAGOUA"	"Convolvulus lanuginosus Desr."	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	"P"	"ES"	"Convolvulaceae"	""	""	"Probable"	
"1415741"	"284809"	""	"RT"	"Bureau d'études ECO-MED (Ecologie et Médiation)"	"2007-05-25"	"2007"	"2007-05-25"	"LEJEUNE Solenne"	"Bureau d'études ECO-MED (Ecologie et Médiation)"	"P"	""	"10kmL93E091N623"	"5kmL93E0910N6235"	"912448"	"6239232"	"5.61351290637512"	"43.2206492413385"	"Ceyreste"	"13023"	"13"	"MAOUGAVI"	"Convolvulus lanuginosus Desr."	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	"P"	"ES"	"Convolvulaceae"	""	""	"Probable"	
"1415739"	"284807"	""	"RT"	"Bureau d'études ECO-MED (Ecologie et Médiation)"	"2007-06-19"	"2007"	"2007-06-19"	"LEJEUNE Solenne / AUDA Pascal"	"Bureau d'études ECO-MED (Ecologie et Médiation) / Bureau d'études ECO-MED (Ecologie et Médiation)"	"P"	""	"10kmL93E091N623"	"5kmL93E0910N6235"	"911178"	"6238600"	"5.59764512787809"	"43.2153443334146"	"La Ciotat"	"13028"	"13"	"ROUMAGOUA"	"Convolvulus lanuginosus Desr."	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	"P"	"ES"	"Convolvulaceae"	""	""	"Probable"	
