id_observation	id_releve	code_perso	id_releve_type	nom_org_f	date_releve_deb	annee	date_releve_fin	nom_obs	nom_org_obs	id_precision	id_maille_inpn_5	id_maille_inpn_10	x_l93	y_l93	lon_wgs84	lat_wgs84	commune	insee_comm	insee_dept	lieudit	nom_cite	cd_nom	cd_ref	nom_reconnu	tax_type	famille	nom_programme	sinp_dspublique	valid_reg	
"41541587"	"14928046"	""	"RT"	"Réseau des botanistes correspondants du CBNMed"	"2025-04-22"	"2025"	"2025-04-22"	"GARCIA Jean-René / LAMAILLOUX Dominique"	"Réseau des botanistes correspondants du CBNMed / Réseau des botanistes correspondants du CBNMed"	"T"	"5kmL93E0700N6195"	"10kmL93E070N619"	"700519.48"	"6199867.44"	"3.006354"	"42.898232"	"Leucate"	"11202"	"11"	"COUNILLÈRES"	"Convolvulus lanuginosus Desr., 1792"	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	"P"	"Convolvulaceae"	""	""	"Probable"	
"41541641"	"14928065"	""	"RT"	"Réseau des botanistes correspondants du CBNMed"	"2025-04-22"	"2025"	"2025-04-22"	"GARCIA Jean-René / LAMAILLOUX Dominique"	"Réseau des botanistes correspondants du CBNMed / Réseau des botanistes correspondants du CBNMed"	"P"	"5kmL93E0700N6195"	"10kmL93E070N619"	"700277"	"6199673.38"	"3.003388"	"42.896487"	"Leucate"	"11202"	"11"	"LES CABANES DE FITOU"	"Convolvulus lanuginosus Desr., 1792"	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	"P"	"Convolvulaceae"	""	""	"Probable"	
"41541647"	"14928071"	""	"RT"	"Réseau des botanistes correspondants du CBNMed"	"2025-04-22"	"2025"	"2025-04-22"	"GARCIA Jean-René / LAMAILLOUX Dominique"	"Réseau des botanistes correspondants du CBNMed / Réseau des botanistes correspondants du CBNMed"	"P"	"5kmL93E0700N6195"	"10kmL93E070N619"	"700344.13"	"6199648.25"	"3.004209"	"42.896261"	"Leucate"	"11202"	"11"	"LES CABANES DE FITOU"	"Convolvulus lanuginosus Desr., 1792"	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	"P"	"Convolvulaceae"	""	""	"Probable"	
"41541649"	"14928073"	""	"RT"	"Réseau des botanistes correspondants du CBNMed"	"2025-04-22"	"2025"	"2025-04-22"	"GARCIA Jean-René / LAMAILLOUX Dominique"	"Réseau des botanistes correspondants du CBNMed / Réseau des botanistes correspondants du CBNMed"	"P"	"5kmL93E0700N6195"	"10kmL93E070N619"	"700293.84"	"6199669.04"	"3.003594"	"42.896448"	"Leucate"	"11202"	"11"	"LES CABANES DE FITOU"	"Convolvulus lanuginosus Desr., 1792"	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	"P"	"Convolvulaceae"	""	""	"Probable"	
"41685885"	"14980817"	""	"RT"	"Conservatoire botanique national méditerranéen"	"2025-06-11"	"2025"	"2025-06-11"	"SILVEREANO Sarah / DUCRETTET Juliette"	"Conservatoire botanique national méditerranéen / Conservatoire botanique national méditerranéen"	"P"	"5kmL93E0700N6195"	"10kmL93E070N619"	"701572"	"6199734"	"3.019227"	"42.897032"	"Leucate"	"11202"	"11"	"COURBATIERES ET DEVES "	"Convolvulus lanuginosus Desr., 1792"	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	"P"	"Convolvulaceae"	"Inventaire général du CBNMED"	""	"Probable"	
"41682381"	"14979527"	""	"RT"	"Conservatoire botanique national méditerranéen"	"2025-06-10"	"2025"	"2025-06-10"	"SILVEREANO Sarah"	"Conservatoire botanique national méditerranéen"	"P"	"5kmL93E0700N6200"	"10kmL93E070N620"	"704631"	"6201295"	"3.056652"	"42.911053"	"Leucate"	"11202"	"11"	"PHARE DE CAP"	"Convolvulus lanuginosus Desr., 1792"	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	"P"	"Convolvulaceae"	"Inventaire général du CBNMED"	""	"Probable"	
"11828553"	"2488462"	"Ac565"	"RT"	"Réseau des botanistes correspondants du CBNMed"	"2016-05-21"	"2016"	"2016-05-21"	"MOLINA James"	"Réseau des botanistes correspondants du CBNMed"	"P"	"5kmL93E0700N6215"	"10kmL93E070N621"	"700310"	"6218259"	"3.0038025512495454"	"43.063632989161924"	"Sigean"	"11379"	"11"	"ILE DE L'AUTE"	"Convolvulus lanuginosus Desr., 1792"	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	"P"	"Convolvulaceae"	"Inventaire général du CBNMED"	""	"Probable"	
"41749739"	"15003624"	""	"RT"	"Bureau d'études Naturalia-Environnement"	"2020-05-20"	"2020"	"2020-05-20"	"BARTHELD Romain"	"Bureau d'études Naturalia-Environnement"	"P"	"5kmL93E0910N6235"	"10kmL93E091N623"	"910178.09"	"6237744.69"	"5.5850100023731315"	"43.20795004395373"	"La Ciotat"	"13028"	"13"	""	"Convolvulus lanuginosus Desr., 1792"	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	"P"	"Convolvulaceae"	""	"Ne sait pas"	"Probable"	
"41749738"	"15003623"	""	"RT"	"Bureau d'études Naturalia-Environnement"	"2020-05-20"	"2020"	"2020-05-20"	"BARTHELD Romain"	"Bureau d'études Naturalia-Environnement"	"P"	"5kmL93E0910N6235"	"10kmL93E091N623"	"910181.34"	"6237744.79"	"5.58504998627816"	"43.20794998610415"	"La Ciotat"	"13028"	"13"	""	"Convolvulus lanuginosus Desr., 1792"	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	"P"	"Convolvulaceae"	""	"Ne sait pas"	"Probable"	
"41749736"	"15003621"	""	"RT"	"Bureau d'études Naturalia-Environnement"	"2020-05-20"	"2020"	"2020-05-20"	"BARTHELD Romain"	"Bureau d'études Naturalia-Environnement"	"P"	"5kmL93E0910N6235"	"10kmL93E091N623"	"910173.4400000001"	"6237762.33"	"5.584959952103862"	"43.20810999994805"	"La Ciotat"	"13028"	"13"	""	"Convolvulus lanuginosus Desr., 1792"	"92329"	"92329"	"Convolvulus lanuginosus Desr., 1792"	"P"	"Convolvulaceae"	""	"Ne sait pas"	"Probable"	
