Code;Code_source;Année;Date;Nom_espèce_source;Nom_RefTax_MNHN;Pays;Region;Ville;Quartier/lieux dit;UTM;UTM1;UTM10;Latitude;Longitude;Altitude;Mode_lecture;Précision;Précision;Type_acquisition ;nom_Observateur;orga_Observateur;Nom_bdd;Auteur;Année_publication;Titre_publication;Nom_revue;confidentialité;nom_fournisseur;organisation;Indigénat_population;Nombre_individus;Surface_patch;abondance_rareté;Description;Corinne;Direct_hab;Ordre;Association;Remarque;Remarque
71;;2016;;Convolvulus lanuginosus;;Spain;;;;;;;41,36444;1,94458;;;;30;communication personnelle;Aaro Perez;;;;;;;privées;Aaro Perez;Universitat de Barcelona;;;;;;;;;;;Around here  in burned areas
72;;2016;;Convolvulus lanuginosus;;Spain;;;;;;;41,58101;1,88544;;;;30;communication personnelle;Aaro Perez;;;;;;;privées;Aaro Perez;Universitat de Barcelona;;;;;;;;;;;
73;;2016;20160414;Convolvulus lanuginosus;;;Aragon;;;;;;41,910433;0,914314;;pointage carte;;30;Flickr;Ferran Turmo;;;;;;;libre;Ferran Turmo;;;;;;;;;;;;
75;;2016;20160414;Convolvulus lanuginosus;;;;Molvizar;Close to Molvizar, Sierra de los Guajares;;;;36,794605;-3,617227;;pointage carte;;100;donnée inédite;Juan Lorite;;;;;;;libre;Juan Lorite;;;;;;;;;;;;
76;;2016;20160414;Convolvulus lanuginosus;;;;Guajar Alto-Guajar Faraguit;;;;;36,848061;-3,611114;;pointage carte;;100;donnée inédite;Juan Lorite;;;;;;;libre;Juan Lorite;;;;;;;;;;;;
77;;2016;20160414;Convolvulus lanuginosus;;;;Castala Berja (Gador);Along the track that reaches the top of the Sierra;;;;36,889033;-2,921633;;pointage carte;;100;donnée inédite;Juan Lorite;;;;;;;libre;Juan Lorite;;;;;;;;;;;;
78;;2016;20160414;Convolvulus lanuginosus;;;;Laujar de Andarax;Close to the villge along the track to Monterrey refuge;;;;37,000956;-2,904631;;pointage carte;;100;donnée inédite;Juan Lorite;;;;;;;libre;Juan Lorite;;;;;;;;;;;;
79;;2016;20160414;Convolvulus lanuginosus;;;;Beires (Almeria);;;;;37,012544;-2,823631;;pointage carte;;100;donnée inédite;Juan Lorite;;;;;;;libre;Juan Lorite;;;;;;;;;;;;
85;;2002;;Convolvulus lanuginosus;;ESPAÑA;TERUEL;Peñarroya de Tastavins;Junto al comedero de buitres;31TBF51;31TBF5115;31TBF516152;40,75026;0,0577;;;;100;communication personnelle;P. MONTSERRAT, D. GOMEZ, X. LIZAUR & C. GIRARD;;IPE JACA;;;;;privées;Maria Begona Garcia;IPE;;;;;Pinar de Pinus halepensis con Quercus coccifera.;;;;;;
86;;2002;;Convolvulus lanuginosus;;ESPAÑA;TERUEL;Beceite;Pista a Fuentespalda;31TBF52;31TBF5621;31TBF567213;40,80667;0,11566;;;;100;communication personnelle;P. MONTSERRAT, D. GOMEZ, X. LIZAUR & C. GIRARD;;IPE JACA;;;;;privées;Maria Begona Garcia;IPE;;;;;Matorral de romero.;;;;;;
